,addresses,zip,lat,long,short-zip
53,13631 Bluff Cir,78216-6303,29.571543,-98.500362,78216
54,10000 W Commerce St,78227-1303,29.43614,-98.624162,78227
55,1612 Martinez Losoya,78221-9811,29.240404,-98.469911,78221
56,6606 Swiss Oaks,78227-1268,29.421541,-98.61933,78227
57,3015 S Pine St,78210-5159,29.385296,-98.469576,78210
58,515 E Whittier St,78210-2939,29.39993,-98.475088,78210
59,4770 Tpc Pkwy,78261,29.654128,-98.402892,78261
60,22139 Us Hwy 281 N,78258-7647,29.647669,-98.451276,78258
61,6254 Stahl Rd,78247-1013,29.594073,-98.363807,78247
62,2380 Grosenbacher Rd,78245-3468,29.4018,-98.726622,78245
63,346 J St,78220-4022,29.404433,-98.443166,78220
64,3410 Belgium,78219-2502,29.439386,-98.432848,78219
65,4207 Se Military Dr,78222,29.357601,-98.411111,78222
66,9403 Wurzbach Rd,78240-1047,29.529917,-98.563485,78240
67,458 E Vestal Place,78221-2452,29.347303,-98.491353,78221
68,6606 Swiss Oaks,78227-1268,29.421541,-98.61933,78227
69,2009 Austin Hwy,78218-2504,29.502493,-98.4182,78218
70,412 St Charles,78202-2036,29.43089,-98.464035,78202
71,606 N Alamo St,78215-1809,29.430616,-98.48327,78215
72,7703 Quintana Rd,78211-3546,29.348358,-98.580823,78211
73,1800 Austin Hwy,78218-1713,29.499371,-98.422432,78218
74,8322 Quintana Rd,78211,29.34487,-98.584064,78211
75,6006 Valley Lawn,78250-3963,29.500078,-98.67968,78250
76,200 Arvil Ave,78227,29.412293,-98.614922,78227
77,418 Fair Ave,78223-1114,29.38419,-98.470434,78223
78,9100 Valley Bend,78250-4905,29.499916,-98.679687,78250
79,1800 Austin Hwy,78218-1713,29.499371,-98.422432,78218
80,23500 Ih 10 W,78257,29.656913,-98.625633,78257
81,11221 San Pedro Ave,78216-3119,29.542981,-98.491645,78216
82,200 Arvil Ave,78227,29.412293,-98.614922,78227
83,7215 Geranium Path,78218-3090,29.496533,-98.374601,78218
84,108 Chappie James Way,78236-0122,29.386901,-98.599855,78236
85,1800 Austin Hwy,78218-1713,29.499371,-98.422432,78218
86,2600 Marlborough Dr,78230-4539,29.521051,-98.535722,78230
87,1800 Austin Hwy,78218-1713,29.499371,-98.422432,78218
88,1612 Martinez Lasoya,,29.425173,-98.494599,
89,12701 West Ave,78216-1801,29.558287,-98.496829,78216
90,1916 Austin Hwy,78218-2501,29.500009,-98.4213,78218
91,6123 Enrique M Barrera Pkwy,78227,29.410668,-98.610585,78227
92,1612 Martinez Losoya,78221-9811,29.240404,-98.469911,78221
93,108 Chappie James Way,78236-0122,29.386901,-98.599855,78236
94,12701 West Ave,78216-1801,29.558287,-98.496829,78216
95,1800 Austin Hwy,78218-1713,29.499371,-98.422432,78218
96,12701 West Ave,78216-1801,29.558287,-98.496829,78216
97,108 Chappie James Way,78236-0122,29.386901,-98.599855,78236
98,3714 Neer Ave,78213-4522,29.489322,-98.520428,78213
99,3800 Parkdale Dr,78229-2031,29.526269,-98.559494,78229
100,10477 Nacogdoches Rd,78217-2842,29.535054,-98.427732,78217
101,1618 Wrangler Dr,78227-2781,29.417041,-98.642585,78227
102,10700 Ingram Rd,78245-2103,29.426046,-98.666057,78245
103,3259 Morning Crk,78247-3325,29.573504,-98.434188,78247
104,827 Fresno St,78212-1304,29.474191,-98.507175,78212
105,134 Merrick St,78214-1230,29.384862,-98.501273,78214
106,8027 Rimfire Dr,78227-2666,29.412637,-98.646687,78227
107,4400 Horizon Hill Blvd,78229-2200,29.518382,-98.559002,78229
108,1200 Wonder Pkwy,78213,29.500277,-98.53169,78213
109,130 Ligustrum Dr E,78228-4007,29.465403,-98.563556,78228
110,108 Chappie James Way,78236-0122,29.386901,-98.599855,78236
111,23500 Ih 10 W,78257,29.656913,-98.625633,78257
112,1800 Austin Hwy,78218-1713,29.499371,-98.422432,78218
113,1612 Martinez Losoya,78221-9811,29.240404,-98.469911,78221
114,1916 Austin Hwy,78218-2501,29.500009,-98.4213,78218
115,6606 Swiss Oaks,78227-1268,29.421541,-98.61933,78227
116,8500 Military Dr W,78245,29.442911,-98.639112,78245
117,4600 Military Dr Sw,78253,29.447346,-98.718672,78253
118,315 Burnet St,78202-1911,29.428888,-98.478501,78202
119,4514 Avenida Prima,78233-6903,29.544295,-98.403201,78233
120,8430 Military Dr W,78227,29.436014,-98.632063,78227
121,9280 Marymont Park,78217-3400,29.525014,-98.430501,78217
122,307 Merrimac St,78223-2067,29.37354,-98.470791,78223
